 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,20,IMPORTADOS,185,BOTELLA CON TAPA SPRAY 120ML,4,Transparente,12018504,UNID,441,441,100,1.2,1.02,0.21,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,186,TAPA DISPENSADOR GEL 28/410,3,Solido,12018603,UNID,1000,1000,100,1.3,1.1,0.23,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,187,TAPA ROCEADOR/ATOMIZADOR 28/410,3,Solido,12018703,UNID,500,500,100,1.5,1.27,0.26,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,188,FUMIGADORA 1LT.,3,Solido,12018803,UNID,20,20,100,7,5.93,1.24,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,189,FUMIGADORA 2LT.,3,Solido,12018903,UNID,20,20,100,9,7.63,1.59,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,190,FUMIGADORA 3LT.,3,Solido,12019003,UNID,20,20,100,11,9.32,1.94,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,191,ROCEADOR REDONDO 300ML. PASTEL,2,Pastel,12019102,DOC,10,20,100,24,20.34,4.24,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,192,ROCEADOR ROLLITOS 350ML. PASTEL,2,Pastel,12019202,DOC,10,20,100,24,20.34,4.24,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,193,ROCEADOR GATILLO 550ML. TRANSP.,4,Transparente,12019304,DOC,10,20,100,24,20.34,4.24,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,194,DISPENSADOR AVAL 350ML. TRANSP.,4,Transparente,12019404,DOC,10,20,100,24,20.34,4.24,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,20,IMPORTADOS,195,PACK BOTELLA GATILLO 550ML + AVAL 350ML.,4,Transparente,12019504,DOC,5,10,100,48,40.68,8.47,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,13,JARRAS,196,JARRA GRECIA 5LT. APILABLE,4,Transparente,11319604,DOC,5,10,310,90,76.27,5.13,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,16,SPORT BOTTLE,197,SPORT BOTTLE SORBETE 300ML.,1,Caramelo,11619701,DOC,10,20,60,29,24.58,8.53,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,16,SPORT BOTTLE,198,SPORT BOTTLE SORBETE 400ML.,1,Caramelo,11619801,DOC,10,20,60,31,26.27,9.12,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,199,PANERITA CORAZON 1/2KG. PASTEL,2,Pastel,12119902,DOC,20,80,20,8,6.78,7.06,ALTA,7.75933E+12,MUNDO HOGAR,PANERITA CORAZÓN CAP. 1/2KG. COLOR PASTEL,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,200,PANERITA MANZANA 1/2KG. PASTEL,2,Pastel,12120002,DOC,20,80,20,8,6.78,7.06,ALTA,7.75933E+12,MUNDO HOGAR,PANERITA MANZANA CAP. 1/2KG. COLOR PASTEL,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,201,MINICANASTA SUPERMERCADO 1KG. PASTEL,2,Pastel,12120102,DOC,20,80,33,13,11.02,6.96,ALTA,7.75933E+12,MUNDO HOGAR,MINICANASTA SUPERMERCADO CAP. 1KG. COLOR PASTEL,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,202,CANASTA CAROLINA 4KG. PASTEL,2,Pastel,12120202,DOC,5,10,144,48,40.68,5.89,ALTA,7.75933E+12,MUNDO HOGAR,CANASTA CAROLINA CAP. 4KG. COLOR PASTEL,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,203,CANASTA SAMANTA,1,Caramelo,12120301,DOC,5,10,170,67,56.78,6.96,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,204,SALSERO PERITA 225ML.,4,Transparente,11520404,DOC,20,80,27,14.5,12.29,9.48,ALTA,7.75933E+12,MUNDO HOGAR,SALSERO PERITA TRANSPARENTE CAP. 225 ML.,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,205,SALSERO PERITA 375ML.,4,Transparente,11520504,DOC,20,80,30,16.8,14.24,9.89,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,14,PACKS,206,PACK: ENVASE BELGICA 4KG. + TAPER 2.8KG,4,Transparente,11420604,DOC,1,2,335,110,93.22,5.8,ALTA,7.75933E+12,MUNDO HOGAR,ENVASE BELGICA 4KG + TAPER ALEMAN 2800 ML,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,14,PACKS,207,PACK: CANASTAS PRACTIHOGAR X 4 PASTEL,2,Pastel,11420702,DOC,1,2,223,84,71.19,6.65,ALTA,7.75933E+12,MUNDO HOGAR,PACK CANASTAS PRACTIHOGAR: CAN.CAR.CAP.4KG.+(PAN.:COR.+MAN.CAP 1/2KG.C/U)+MINICAN.SUP.CAP.1KG.,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,14,PACKS,208,PACK: SALSERO 600ML. + CEPILLO ESPONJA,4,Transparente,11420804,DOC,10,20,90,32,27.12,6.28,ALTA,7.75933E+12,MUNDO HOGAR,4 SALSERO TRANSPARENTE CAP. 600ML. + CEPILLO ESPONJA COLORES VARIADOS,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,209,SALSERO EXTRA 600ML. ,4,Transparente,11520904,DOC,10,40,48,26,22.03,9.56,ALTA,7.75933E+12,MUNDO HOGAR,SALSERO EXTRA TRANSPARENTE CAP. 600ML.,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,15,SALSEROS,210,SALSERO EXTRA 1200ML. ,4,Transparente,11521004,DOC,10,40,75,36,30.51,8.47,ALTA,7.75933E+12,MUNDO HOGAR,SALSERO EXTRA TRANSPARENTE CAP. 1200ML.,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,21,CESTAS,211,PORTAVAJILLA MUNDO HOGAR PASTEL,2,Pastel,12121102,UNID,1,20,976,24,20.34,0.43,ALTA,7.75933E+12,MUNDO HOGAR,PORTAVAJILLA COLOR PASTEL,
1,HOGAR,11,ENVASES,212,PORTA ACCESORIO MULTIUSO PASTEL,2,Pastel,11121202,DOC,10,20,60,23,19.49,6.77,ALTA,7.75933E+12,MUNDO HOGAR,PORTA ACCESORIO MULTIUSO COLOR PASTEL,
1,HOGAR,19,VASOS,213,VASO MUNDO MANZANITA PASTEL,2,Pastel,11921302,DOC,60,20,21,10,8.47,8.41,ALTA,7.75933E+12,MUNDO HOGAR,VASO MUNDO MANZANITA COLOR PASTEL,
1,HOGAR,21,CESTAS,214,PORTAVAJILLA MUNDO HOGAR SOLIDO,3,Solido,12121403,UNID,1,20,976,24,20.34,0.43,ALTA,7.75933E+12,MUNDO HOGAR,PORTAVAJILLA COLOR SOLIDO,
